uid	abstract	title	journal	class
32908202	Tauopathies are a group of neurodegenerative diseases characterized by hyperphosphorylation of the microtubule-binding protein, tau, and typically feature axon impairment and synaptic dysfunction. Cyclin-dependent kinase5 (Cdk5) is a major tau kinase and its activity requires p35 or p25 regulatory subunits. P35 is subjected to rapid proteasomal degradation in its membrane-bound form and is cleaved by calpain under stress to a stable p25 form, leading to aberrant Cdk5 activation and tau hyperphosphorylation. The type Ib transmembrane protein RPS23RG1 has been implicated in Alzheimer's disease (AD). However, physiological and pathological roles for RPS23RG1 in AD and other tauopathies are largely unclear. Herein, we observed retarded axon outgrowth, elevated p35 and p25 protein levels, and increased tau phosphorylation at major Cdk5 phosphorylation sites in Rps23rg1 knockout (KO) mice. Both downregulation of p35 and the Cdk5 inhibitor roscovitine attenuated tau hyperphosphorylation and axon outgrowth impairment in Rps23rg1 KO neurons. Interestingly, interactions between the RPS23RG1 carboxyl-terminus and p35 amino-terminus promoted p35 membrane distribution and proteasomal degradation. Moreover, P301L tau transgenic (Tg) mice showed increased tau hyperphosphorylation with reduced RPS23RG1 levels and impaired axon outgrowth. Overexpression of RPS23RG1 markedly attenuated tau hyperphosphorylation and axon outgrowth defects in P301L tau Tg neurons. Our results demonstrate the involvement of RPS23RG1 in tauopathy disorders, and implicate a role for RPS23RG1 in inhibiting tau hyperphosphorylation through homeostatic p35 degradation and suppression of Cdk5 activation. Reduced RPS23RG1 levels in tauopathy trigger aberrant Cdk5-p35 activation, consequent tau hyperphosphorylation, and axon outgrowth impairment, suggesting that RPS23RG1 may be a potential therapeutic target in tauopathy disorders.	RPS23RG1 modulates tau phosphorylation and axon outgrowth through regulating p35 proteasomal degradation.	Cell death and differentiation	0
32764647	Lysosome is a crucial organelle in charge of degrading proteins and damaged organelles to maintain cellular homeostasis. Transcription factor EB (TFEB) is the master transcription factor regulating lysosomal biogenesis and autophagy. Under external stimuli such as starvation, dephosphorylated TFEB transports into the nucleus to specifically recognize and bind to the coordinated lysosomal expression and regulation (CLEAR) elements at the promotors of autophagy and lysosomal biogenesis-related genes. The function of TFEB in the nucleus is fine regulated but the molecular mechanism is not fully elucidated. In this study, we discovered that miR-30b-5p, a small RNA which is known to regulate a series of genes through posttranscriptional regulation in the cytoplasm, was translocated into the nucleus, bound to the CLEAR elements, suppressed the transcription of TFEB-dependent downstream genes, and further inhibited the lysosomal biogenesis and the autophagic flux; meanwhile, knocking out the endogenous miR-30b-5p by CRISPR/Cas9 technique significantly increased the TFEB-mediated transactivation, resulting in the increased expression of autophagy and lysosomal biogenesis-related genes. Overexpressing miR-30b-5p in mice livers showed a decrease in lysosomal biogenesis and autophagy. These in vitro and in vivo data indicate that miR-30b-5p may inhibit the TFEB-dependent transactivation by binding to the CLEAR elements in the nucleus to regulate the lysosomal biogenesis and autophagy. This novel mechanism of nuclear miRNA regulating gene transcription is conducive to further elucidating the roles of miRNAs in the lysosomal physiological functions and helps to understand the pathogenesis of abnormal autophagy-related diseases.	Nuclear miR-30b-5p suppresses TFEB-mediated lysosomal biogenesis and autophagy.	Cell death and differentiation	0
32694652	p53 plays a pivotal role in controlling the differentiation of mesenchymal stem cells (MSCs) by regulating genes involved in cell cycle and early steps of differentiation process. In the context of osteogenic differentiation of MSCs and bone homeostasis, the osteoprotegerin/receptor activator of NF-kappaB ligand/receptor activator of NF-kappaB (OPG/RANKL/RANK) axis is a critical signaling pathway. The absence or loss of function of p53 has been implicated in aberrant osteogenic differentiation of MSCs that results in higher bone formation versus erosion, leading to an unbalanced bone remodeling. Here, we show by microCT that mice with p53 deletion systemically or specifically in mesenchymal cells possess significantly higher bone density than their respective littermate controls. There is a negative correlation between p53 and OPG both in vivo by analysis of serum from p53(+/+), p53(+/-), and p53(-/-) mice and in vitro by p53 knockdown and ChIP assay in MSCs. Notably, high expression of Opg or its combination with low level of p53 are prominent features in clinical cancer lesion of osteosarcoma and prostate cancer respectively, which correlate with poor survival. Intra-bone marrow injection of prostate cancer cells, together with androgen can suppress p53 expression and enhance local Opg expression, leading to an enhancement of bone density. Our results support the notion that MSCs, as osteoblast progenitor cells and one major component of bone microenvironment, represent a cellular source of OPG, whose amount is regulated by the p53 status. It also highlights a key role for the p53-OPG axis in regulating the cancer associated bone remodeling.	Loss of p53 in mesenchymal stem cells promotes alteration of bone remodeling through negative regulation of osteoprotegerin.	Cell death and differentiation	0
32968199	ATP-binding cassette transporters A1 (ABCA1) and G1 (ABCG1) play a vital role in promoting cholesterol efflux. Although, the dysregulation of these transporters was attributed as one of the mechanisms of atherogenesis, what renders their dysfunction is not well explored. Previously, we have reported that thrombin without having any effect on ABCG1 levels depletes ABCA1 levels affecting cholesterol efflux. In this study, we explored the mechanisms underlying thrombin-induced depletion of ABCA1 levels both in macrophages and smooth muscle cells. Under normal physiological conditions, COP9 signalosome subunit 3 (CSN3) was found to exist in complex with ABCA1 and in the presence of proatherogenic stimulants such as thrombin, ABCA1 was phosphorylated and dissociated from CSN3, leading to its degradation. Forced expression of CSN3 inhibited thrombin-induced ABCA1 ubiquitination and degradation, restored cholesterol efflux and suppressed foam cell formation. In Western diet (WD)-fed ApoE(-/-) mice, CSN3 was also disassociated from ABCA1 otherwise remained as a complex in Chow diet (CD)-fed ApoE(-/-) mice. Interestingly, depletion of CSN3 levels in WD-fed ApoE(-/-) mice significantly lowered ABCA1 levels, inhibited cholesterol efflux and intensified foam cell formation exacerbating the lipid laden atherosclerotic plaque formation. Mechanistic studies have revealed the involvement of Par1-Galpha12-Pyk2-Gab1-PKCtheta signaling in triggering phosphorylation of ABCA1 and its disassociation from CSN3 curtailing cholesterol efflux and amplifying foam cell formation. In addition, although both CSN3 and ABCA1 were found to be colocalized in human non-lesion coronary arteries, their levels were decreased as well as dissociated from each other in advanced atherosclerotic lesions. Together, these observations reveal for the first time an anti-atherogenic role of CSN3 and hence, designing therapeutic drugs protecting its interactions with ABCA1 could be beneficial against atherosclerosis.	Thrombin-Par1 signaling axis disrupts COP9 signalosome subunit 3-mediated ABCA1 stabilization in inducing foam cell formation and atherogenesis.	Cell death and differentiation	0
32929218	The non-canonical inflammasome is an emerging crucial player in the development of inflammatory and neurodegenerative diseases. It is activated by direct sensing of cytosolic lipopolysaccharide (LPS) by caspase-11 (CASP11), which then induces pyroptosis, an inflammatory form of regulated cell death. Here, we report that tyrosine kinase 2 (TYK2), a cytokine receptor-associated kinase, is a critical upstream regulator of CASP11. Absence of TYK2 or its kinase activity impairs the transcriptional induction of CASP11 in vitro and in vivo and protects mice from LPS-induced lethality. Lack of TYK2 or its enzymatic activity inhibits macrophage pyroptosis and impairs release of mature IL-1beta and IL-18 specifically in response to intracellular LPS. Deletion of TYK2 in myeloid cells reduces LPS-induced IL-1beta and IL-18 production in vivo, highlighting the importance of these cells in the inflammatory response to LPS. In support of our data generated with genetically engineered mice, pharmacological inhibition of TYK2 reduced LPS-induced upregulation of CASP11 in bone marrow-derived macrophages (BMDMs) and of its homolog CASP5 in human macrophages. Our study provides insights into the regulation of CASP11 in vivo and uncovered a novel link between TYK2 activity and CASP11-dependent inflammation.	TYK2 licenses non-canonical inflammasome activation during endotoxemia.	Cell death and differentiation	0
32929216	Arginylation was previously found to promote stabilization of heat shock protein 70.3 (Hsp70.3) mRNA and cell survival in mouse embryonic fibroblasts (MEFs) on exposure to heat stress (HS). In search of a factor responsible for these phenomena, the current study identified human antigen R (HuR) as a direct target of arginylation. HS induced arginylation of HuR affected its stability and RNA binding activity. Arginylated HuR failed to bind Hsp70.3 3' UTR, allowing the recruitment of cleavage stimulating factor 64 (CstF64) in the proximal poly-A-site (PAS), generating transcripts with short 3'UTR. However, HuR from Ate1 knock out (KO) MEFs bound to proximal PAS region with higher affinity, thus excluded CstF64 recruitment. This inhibited the alternative polyadenylation (APA) of Hsp70.3 mRNA and generated the unstable transcripts with long 3'UTR. The inhibition of RNA binding activity of HuR was traced to arginylation-coupled phosphorylation of HuR, by check point kinase 2 (Chk2). Arginylation of HuR occurred at the residue D15 and the arginylation was needed for the phosphorylation. Accumulation of HuR also decreased cell viability upon HS. In conclusion, arginylation dependent modifications of HuR maintained its cellular homeostasis, and promoted APA of Hsp70.3 pre-mRNA, during early HS response.	Heat stress induced arginylation of HuR promotes alternative polyadenylation of Hsp70.3 by regulating HuR stability and RNA binding.	Cell death and differentiation	0
32913227	Increasing evidence suggests that miRNAs play important regulatory roles in the nervous system. However, the molecular mechanisms of how specific miRNAs affect neuronal development and functions remain less well understood. In the present study, we provide evidence that the conserved microRNA miR-210 regulates lipid metabolism and prevents neurodegeneration in the Drosophila retina. miR-210 is specifically expressed in the photoreceptor neurons and other sensory organs. Genetic deletion of miR-210 leads to lipid droplet accumulation and photoreceptor degeneration in the retina. These effects are associated with abnormal activation of the Drosophila sterol regulatory element-binding protein signaling. We further identify the acetyl-coenzyme A synthetase (ACS) as one functionally important target of miR-210 in this context. Reduction of ACS in the miR-210 mutant background suppresses the neurodegeneration defects, suggesting that miR-210 acts through regulation of the ACS transcript. Together, these results reveal an unexpected role of miR-210 in controlling lipid metabolism and neuronal functions.	The conserved microRNA miR-210 regulates lipid metabolism and photoreceptor maintenance in the Drosophila retina.	Cell death and differentiation	0
32895487	Oct4 plays a crucial role in the regulation of self-renewal of embryonic stem cells (ESCs) and reprogramming of somatic cells to induced pluripotent stem cells. However, the molecular mechanisms underlying posttranslational regulation and protein stability of Oct4 remain unclear. Using affinity purification and mass spectrometry analysis, we identified Kap1 as an Oct4-binding protein. Silencing of Kap1 reduced the protein levels of Oct4 in ESCs, whereas the overexpression of Kap1 stimulated the levels of Oct4. In addition, Kap1 overexpression stimulated the self-renewal of ESCs and attenuated the spontaneous differentiation of ESCs in response to LIF withdrawal. Kap1 overexpression increased the stability of Oct4 by inhibiting the Itch-mediated ubiquitination of Oct4. Silencing of Kap1 augmented Itch-mediated ubiquitination and inhibited the stability of Oct4. We identified the lysine 133 (K133) residue in Oct4 as a ubiquitination site responsible for the Kap1-Itch-dependent regulation of Oct4 stability. Preventing ubiquitination at the lysine residue by mutation to arginine augmented the reprogramming of mouse embryonic fibroblasts to induced pluripotent stem cells. These results suggest that Kap1 plays a crucial role in the regulation of the pluripotency of ESCs and somatic cell reprogramming by preventing Itch-mediated ubiquitination and the subsequent degradation of Oct4.	Kap1 regulates the self-renewal of embryonic stem cells and cellular reprogramming by modulating Oct4 protein stability.	Cell death and differentiation	0
33087875	Selective autophagic degradation of mitochondria (mitophagy) is important in maintaining proper cellular homeostasis. Here, we found that SPATA33 is a novel autophagy mediator for mitophagy in testis. The SPATA33 protein localizes on mitochondria via its binding of the carboxyl terminal with the outer mitochondrial membrane protein VDAC2. Upon starvation induction, SPATA33 is recruited to autophagosome by binding the autophagy machinery ATG16L1 via its N-terminal along with mitochondria. Notably, Spata33 knockout inhibited autophagy and overexpression can promote autophagosome formation for mitochondrial sequestration. Therefore, SPATA33 confers selectivity for mitochondrial degradation and promotes mitophagy in male germline cells.	SPATA33 is an autophagy mediator for cargo selectivity in germline mitophagy.	Cell death and differentiation	0
33082516	CIB1 is a homolog of calmodulin that regulates cell adhesion, migration, and differentiation. It has been considered as an oncogene in many tumor cells; however, its role in lung adenocarcinoma (LAC) has not been studied. In this study, the expression levels of CIB1 in LAC tissues and adjacent normal tissues were examined by immunohistochemistry, and the relationship between CIB1 expression and patient clinicopathological characteristics was analyzed. The effects of CIB1 on epithelial-mesenchymal transition (EMT), migration, and metastasis of LAC cells were determined in vitro and vivo. Proteins interacting with CIB1 were identified using electrospray mass spectrometry (LS-MS), and CHIP was selected in the following assays. Carboxyl-terminus of Hsp70-interacting protein (CHIP) is a ubiquitin E3 ligase. We show that CHIP can degrade CIB1 via promoting polyubiquitination of CIB1 and its subsequent proteasomal degradation. Besides, lysine residue 10 and 65 of CIB1 is the ubiquitinated site of CIB1. Furthermore, CHIP-mediated CIB1 downregulation is critical for the suppression of metastasis and migration of LAC. These results indicated that CHIP-mediated CIB1 ubiquitination could regulate epithelial-mesenchymal and tumor metastasis in LAC.	CHIP-mediated CIB1 ubiquitination regulated epithelial-mesenchymal transition and tumor metastasis in lung adenocarcinoma.	Cell death and differentiation	0
33082514	Cancer cells undergo complex metabolic alterations. The mechanisms underlying the tuning of cancer metabolism are under active investigation. Here, we identify the uncharacterized deubiquitinase JOSD2 as a positive regulator of cancer cell proliferation by displaying comprehensive effects on glucose catabolism. We found that JOSD2 directly controls a metabolic enzyme complex that includes Aldolase A, Phosphofructokinase-1 and Phosphoglycerate dehydrogenase, in vitro and in vivo. Further, JOSD2 expression, but not a catalytically inactive mutant, deubiquitinates and stabilizes the enzyme complex, thereby enhancing their activities and the glycolytic rate. This represents a selective JOSD2 feature that is not shared among other Machado-Joseph disease DUBs or observed in nontransformed cells. JOSD2 deficiency displays cytostatic effects and reduces glycolysis in a broad spectrum of tumor cells of distinct origin and its expression correlates with poor prognosis in non-small cell lung cancer. Overall, our study provides evidence for a previously unknown biological mechanism in which JOSD2 integrates glucose and serine metabolism with potential therapeutic implications.	The deubiquitinase JOSD2 is a positive regulator of glucose metabolism.	Cell death and differentiation	0
33024274	Development of renal fibrosis is a hallmark of renal aging and chronic kidney disease of all etiologies and characterized by extensive renal cell injuries and subsequent myofibroblast transdifferentiations (MTDs), which are significantly influenced by aberrant histone deacetylase (HDAC) activities. However, the key HDAC isoforms and effectors that are causally involved in the processes remain poorly understood. Here, we report that aberrant HDAC3 induction and its inhibition of Klotho, a renal epithelium-enriched aging suppressor, contribute significantly to renal fibrogenesis. HDAC3 was preferentially elevated with concomitant Klotho suppression in fibrotic kidneys incurred by unilateral ureter obstruction (UUO) and aristolochic acid nephropathy (AAN), whereas Hdac3 knockout resisted the fibrotic pathologies. The HDAC3 elevation is substantially blocked by the inhibitors of TGFbeta receptor and Smad3 phosphorylation, suggesting that TGFbeta/Smad signal activates Hdac3 transcription. Consistently, an HDAC3-selective inhibitor RGFP966 derepressed Klotho and mitigated the renal fibrotic injuries in both UUO and AAN mice. Further, HDAC3 overexpression or inhibition in renal epithelia inversely affected Klotho abundances and HDAC3 was inducibly associated with transcription regulators NCoR and NF-kB and bound to Klotho promoter in fibrotic kidney, supporting that aberrant HDAC3 targets and transcriptionally inhibits Klotho under renal fibrotic conditions. More importantly, the antirenal fibrosis effects of RGFP966 were largely compromised in mice with siRNA-mediated Klotho knockdown. Hence, HDAC3 aberration and the subsequent Klotho suppression constitute an important regulatory loop that promotes MTD and renal fibrosis and uses of HDAC3-selective inhibitors are potentially effective in treating renal fibrotic disorders.	Histone deacetylase 3 aberration inhibits Klotho transcription and promotes renal fibrosis.	Cell death and differentiation	0
32999468	Receptor-interacting protein 1 (RIP1; RIPK1) is a key regulator of multiple signaling pathways that mediate inflammatory responses and cell death. TNF-TNFR1 triggered signaling complex formation, subsequent NF-kappaB and MAPK activation and induction of cell death involve RIPK1 ubiquitination at several lysine residues including Lys376 and Lys115. Here we show that mutating the ubiquitination site K376 of RIPK1 (K376R) in mice activates cell death resulting in embryonic lethality. In contrast to Ripk1(K376R/K376R) mice, Ripk1(K115R/K115R) mice reached adulthood and showed slightly higher responsiveness to TNF-induced death. Cell death observed in Ripk1(K376R/K376R) embryos relied on RIPK1 kinase activity as administration of RIPK1 inhibitor GNE684 to pregnant heterozygous mice effectively blocked cell death and prolonged survival. Embryonic lethality of Ripk1(K376R/K376R) mice was prevented by the loss of TNFR1, or by simultaneous deletion of caspase-8 and RIPK3. Interestingly, elimination of the wild-type allele from adult Ripk1(K376R/cko) mice was tolerated. However, adult Ripk1(K376R/cko) mice were exquisitely sensitive to TNF-induced hypothermia and associated lethality. Absence of the K376 ubiquitination site diminished K11-linked, K63-linked, and linear ubiquitination of RIPK1, and promoted the assembly of death-inducing cellular complexes, suggesting that multiple ubiquitin linkages contribute to the stability of the RIPK1 signaling complex that stimulates NF-kappaB and MAPK activation. In contrast, mutating K115 did not affect RIPK1 ubiquitination or TNF stimulated NF-kappaB and MAPK signaling. Overall, our data indicate that selective impairment of RIPK1 ubiquitination can lower the threshold for RIPK1 activation by TNF resulting in cell death and embryonic lethality.	Impaired RIPK1 ubiquitination sensitizes mice to TNF toxicity and inflammatory cell death.	Cell death and differentiation	0
